,deutsch,english
1540,hängen,hang
1541,freunden,friends
1542,deren,whose
1543,halb,half
1544,verpasst,lost
1545,sprach,speech
1546,leise,quiet
1547,armen,arm
1548,wusstest,chewing test
1549,fanden,found
1550,unternehmen,company
1551,träume,dreams
1552,schläft,is sleeping
1553,kostet,costs
1554,spiele,gaming
1555,unseres,ours
1556,entlang,along
1557,johnny,Johnny
1558,versprechen,promise
1559,tiere,animals
1560,freiheit,freedom
1561,verdienen,earn
1562,aha,Aha
1563,unterhalten,entertain
1564,eingeladen,invited
1565,schaden,damage
1566,genannt,called
1567,beenden,finish
1568,ray,ray
1569,geändert,changed
1570,thomas,Thomas
1571,lächerlich,ridiculous
1572,geschlagen,beaten
1573,park,park
1574,schätzen,treasure
1575,männern,male
1576,t,T
1577,beginnt,begins
1578,ehren,to honor
1579,größte,greatest
1580,energie,energy
1581,fleisch,meat
1582,besonderes,special
1583,besteht,consists
1584,reichen,are sufficient
1585,robert,Robert
1586,zeitung,newspaper
1587,worum,what
1588,nachgedacht,thoughtful
1589,betrunken,drunk
1590,sowas,like this
1591,patienten,patient
1592,gespräch,conversation
1593,leiden,Suffer
1594,taxi,taxi
1595,tötet,killed
1596,see,lake
1597,unterschied,difference
1598,wind,wind
1599,singt,sings
1600,schreien,scream
1601,daniel,Daniel
1602,sahen,saw
1603,wand,wall
1604,bus,bus
1605,lhre,lhre
1606,angriff,attack
1607,verhalten,behave
1608,loch,hole
1609,interesse,interest
1610,treten,step
1611,quatsch,nonsense
1612,trifft,meets
1613,polizist,police officer
1614,blumen,flowers
1615,neuigkeiten,news
1616,bringst,brings
1617,flasche,bottle
1618,rief,called
1619,schuss,shot
1620,fassen,grasp
1621,meer,sea
1622,konntest,can
1623,schafft,creates
1624,maschine,machine
1625,spreche,speak
1626,bein,leg
1627,eddie,Eddie
1628,bekommst,get
1629,verbringen,spend
1630,bücher,Books
1631,blöd,stupid
1632,frühstück,breakfast
1633,tommy,Tommy
1634,meter,meter
1635,bilder,pictures
1636,aufpassen,watch out
1637,claire,claire
1638,dessen,whose
1639,muß,must
1640,freuen,be happy
1641,engel,Angel
1642,offenbar,apparently
1643,gelegenheit,opportunity
1644,fang,catch
1645,lüge,lie
1646,ohren,ears
1647,au,au
1648,angetan,impressed
1649,beeil,hurry
1650,brechen,break
1651,brüder,brothers
1652,zeitpunkt,time
1653,keinem,none
1654,ecke,corner
1655,brücke,bridge
1656,druck,pressure
1657,mitgebracht,brought
1658,seufzt,sigh
1659,date,date
1660,haufen,heap
1661,oma,granny
1662,auftrag,order
1663,leer,empty
1664,entkommen,escape
1665,bobby,Bobby
1666,weißen,white
1667,lösung,solution
1668,wart,wart
1669,pause,Break
1670,irre,crazy
1671,gestellt,placed
1672,keller,"basement, cellar"
1673,gebrochen,Broken
1674,weinen,cry
1675,nutzen,to use
1676,wünschen,wish
1677,fragt,asks
1678,maul,mouth
1679,verantwortung,responsibility
1680,schloss,lock
1681,hut,cap
1682,lächeln,smile
1683,ryan,ryan
1684,rot,red
1685,grad,Degree
1686,zweiten,second
1687,hinaus,out of
1688,mitkommen,come along
1689,vorhin,earlier
1690,fahrt,drive
1691,gemeint,meant
1692,ernsthaft,seriously
1693,gebaut,built -up
1694,bombe,bomb
1695,hasst,hate
1696,versteh,understand
1697,kosten,cost
1698,zeige,show
1699,traf,met
1700,eigenes,own
1701,haar,hair
1702,fragte,asked
1703,jason,Jason
1704,operation,surgery
1705,befehle,commands
1706,schmerzen,pains
1707,erklärt,explained
1708,steve,Steve
1709,dach,roof
1710,folge,consequence
1711,gelaufen,ran
1712,schwarze,black
1713,dankbar,thankful
1714,gehirn,brain
1715,töte,killing
1716,mädels,girls
1717,mut,courage
1718,heilige,holy
1719,laura,Laura
1720,tier,animal
1721,system,system
1722,mannes,man
1723,wahnsinn,craziness
1724,nee,no
1725,rose,rose
1726,club,club
1727,geschlossen,closed
1728,hintern,butt
1729,is,is
1730,thema,theme
1731,fiel,fell
1732,gehalten,held
1733,dorthin,there
1734,urlaub,vacation
1735,steig,climb
1736,vorwärts,forward
1737,überprüfen,check
1738,besseres,better
1739,beweis,proof
1740,baum,tree
1741,gebt,giving
1742,funktionieren,function
1743,anscheinend,apparently
1744,lehrer,teacher
1745,hoffen,hope
1746,bessere,better
1747,isst,eats
1748,nachmittag,afternoon
1749,nem,nem
1750,risiko,risk
1751,chuck,chuck
1752,knast,jail
1753,entschuldigt,sorry
1754,gilt,applies
1755,held,hero
1756,daraus,from this
1757,erstes,first
1758,fräulein,young lady
1759,rachel,wing
1760,prima,fine
1761,brauchte,needed
1762,gewalt,force
1763,dean,dean
1764,liebes,Dear
1765,schaffst,manage
1766,nachdenken,ponder
1767,tor,goal
1768,erfahrung,experience
1769,pläne,plans
1770,jagen,to hunt
1771,katze,cat
1772,runde,round
1773,deutsche,German
1774,schwanz,tail
1775,taten,act
1776,lord,lord
1777,dringend,urgent
1778,commander,commander
1779,großvater,grandfather
1780,sommer,summer
1781,gezeigt,shown
1782,hinterlassen,leave behind
1783,gewissen,conscience
1784,getrunken,drunk
1785,wahre,real
1786,luke,hatch
1787,kunden,customers
1788,kate,Kate
1789,zeugen,witness
1790,geplant,planned
1791,amanda,amanda
1792,erreicht,reached
1793,stören,disturb
1794,stein,stone
1795,atmen,breathe
1796,hose,trousers
1797,weiße,white
1798,sprichst,speak
1799,größer,greater
1800,schickt,sends
1801,city,City
1802,prinz,prince
1803,behandelt,treated
1804,tote,dead
1805,überlegen,superior
1806,karten,cards
1807,it,IT
1808,d,D
1809,restaurant,restaurant
1810,welchem,which
1811,roger,Roger
1812,natur,nature
1813,carter,carter
1814,emily,Emily
1815,mami,mommy
1816,verschwindet,disappears
1817,lautet,is the case
1818,streit,dispute
1819,küssen,kiss
1820,sprich,speaking
1821,längst,a long time ago
1822,fängt,catches
1823,drüber,over it
1824,gingen,went
1825,erlaubt,allowed
1826,einzigen,single
1827,bad,bath
1828,schmeckt,tastes
1829,kugel,bullet
1830,normalerweise,normally
1831,schwarzen,black
1832,rauf,up
1833,flug,flight
1834,beruhigen,calm
1835,walter,Walter
1836,halbe,half
1837,dan,Dan
1838,geschieht,happens
1839,einiges,some
1840,entdeckt,discovered
1841,morgens,In the morning
1842,schlechter,worse
1843,vollkommen,completely
1844,gelogen,lied
1845,verfolgt,tracked
1846,college,college
1847,weiteren,further
1848,chris,chris
1849,louis,louis
1850,eh,eh
1851,schwert,sword
1852,hunde,dogs
1853,steigen,climb
1854,verdammter,damn
1855,dürfte,should
1856,riecht,smells
1857,labor,laboratory
1858,bat,bat
1859,tim,Tim
1860,arthur,Arthur
1861,mindestens,at least
1862,fisch,fish
1863,eurem,of your
1864,füße,feet
1865,stehst,stand
1866,erschießen,shoot
1867,kuchen,cake
1868,versuchte,tried
1869,zustand,condition
1870,wunsch,wish
1871,gäste,Guests
1872,erwähnt,mentioned
1873,farbe,color
1874,van,van
1875,einigen,agree
1876,zufall,coincidence
1877,garten,garden
1878,junger,younger
1879,autos,cars
1880,abgesehen,beyond
1881,fair,fair
1882,vertraut,trusted
1883,koffer,suitcase
1884,hieß,was called
1885,kurs,course
1886,wirkt,acts
1887,idioten,idiot
1888,netter,nicer
1889,seitdem,since
1890,angegriffen,attacked
1891,geschichten,stories
1892,wahnsinnig,insane
1893,ähnlich,similar
1894,lily,lily
1895,aufgeben,give up
1896,england,England
1897,entführt,kidnapped
1898,ms.,MS.
1899,mistkerl,riots
1900,solchen,such
1901,ner,ner
1902,geschossen,shot
1903,lager,camp
1904,besprechen,discuss
1905,reihe,row
1906,polizisten,police officers
1907,vogel,bird
1908,legt,places
1909,strand,beach
1910,amerikaner,American
1911,schwarz,black
1912,fern,remote
1913,fick,fuck
1914,scherz,hoax
1915,san,San
1916,erzählte,told
1917,wichser,wanker
1918,jake,jake
1919,langweilig,boring
1920,womit,by which
1921,geschäfte,businesses
1922,my,my
1923,kapiert,Got it
1924,nachher,afterward
1925,verlangt,required
1926,schlägt,beats
1927,überzeugt,convinced
1928,irgendjemand,Someone
1929,rot,red
1930,soldat,soldier
1931,vorbereitet,prepared
1932,geschah,happened
1933,reisen,travel
1934,termin,meeting
1935,gang,corridor
1936,stehlen,steal
1937,rechte,right
1938,rache,revenge
1939,bemerkt,noticed
1940,frankreich,France
1941,stört,disturbs
1942,radio,radio
1943,beruhige,calm down
1944,pferde,horses
1945,vertrag,contract
1946,arbeitest,worker
1947,dienst,service
1948,zählt,counts
1949,fragst,asking
1950,wesen,beings
1951,bürgermeister,mayor
1952,emma,Emma
1953,fluss,flow
1954,woran,what
1955,geblieben,remained
1956,durcheinander,mixed up
1957,me,me
1958,ted,ted
1959,nette,nice
1960,test,test
1961,mister,Mister
1962,dadurch,through this
1963,direktor,director
1964,wichtiger,more important
1965,kevin,Kevin
1966,scott,scott
1967,karriere,Career
1968,akte,file
1969,erinnerung,memory
1970,großmutter,grandmother
1971,erzähle,tell
1972,lösen,solve
1973,bravo,Bravo
1974,griff,handle
1975,verfolgen,track
1976,zweifel,doubt
1977,such,search
1978,sprache,language
1979,nerven,annoy
1980,officer,officer
1981,andy,Andy
1982,langer,longer
1983,ziehe,pull
1984,entlassen,dismissed
1985,zweimal,twice
1986,abholen,pick up
1987,washington,Washington
1988,kollegen,colleagues
1989,doc,Doc
1990,fass,barrel
1991,szene,scene
1992,robin,Robin
1993,scheinen,seem
1994,bösen,nourish
1995,schaffe,creative
1996,pflicht,duty
1997,wache,guard
1998,neulich,recently
1999,beeilen,hurry up
